Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
05/09/1900,58.58,58.58,58.58,58.58
06/09/1900,58.5,58.5,58.5,58.5
07/09/1900,58.32,58.32,58.32,58.32
08/09/1900,58.32,58.32,58.32,58.32
09/09/1900,58.32,58.32,58.32,58.32
10/09/1900,58.07,58.07,58.07,58.07
11/09/1900,58.1,58.1,58.1,58.1
12/09/1900,58.25,58.25,58.25,58.25
13/09/1900,58.2,58.2,58.2,58.2
14/09/1900,57.47,57.47,57.47,57.47
15/09/1900,57.47,57.47,57.47,57.47
16/09/1900,57.47,57.47,57.47,57.47
17/09/1900,56.67,56.67,56.67,56.67
18/09/1900,56.63,56.63,56.63,56.63
19/09/1900,55.63,55.63,55.63,55.63
20/09/1900,54.37,54.37,54.37,54.37
21/09/1900,54.37,54.37,54.37,54.37
22/09/1900,54.37,54.37,54.37,54.37
23/09/1900,54.37,54.37,54.37,54.37
24/09/1900,52.96,52.96,52.96,52.96
25/09/1900,53.13,53.13,53.13,53.13
26/09/1900,53.25,53.25,53.25,53.25
27/09/1900,54.53,54.53,54.53,54.53
28/09/1900,54.14,54.14,54.14,54.14
29/09/1900,54.14,54.14,54.14,54.14
30/09/1900,54.14,54.14,54.14,54.14
01/10/1900,54.96,54.96,54.96,54.96
02/10/1900,54.52,54.52,54.52,54.52
03/10/1900,54.74,54.74,54.74,54.74
04/10/1900,55.29,55.29,55.29,55.29
05/10/1900,55.7,55.7,55.7,55.7
06/10/1900,55.7,55.7,55.7,55.7
07/10/1900,55.7,55.7,55.7,55.7
08/10/1900,55.38,55.38,55.38,55.38
09/10/1900,55.51,55.51,55.51,55.51
10/10/1900,54.9,54.9,54.9,54.9
11/10/1900,55.34,55.34,55.34,55.34
12/10/1900,56.09,56.09,56.09,56.09
13/10/1900,56.09,56.09,56.09,56.09
14/10/1900,56.09,56.09,56.09,56.09
15/10/1900,57.9,57.9,57.9,57.9
16/10/1900,57.82,57.82,57.82,57.82
17/10/1900,57.89,57.89,57.89,57.89
18/10/1900,58.46,58.46,58.46,58.46
19/10/1900,58.73,58.73,58.73,58.73
20/10/1900,58.73,58.73,58.73,58.73
21/10/1900,58.73,58.73,58.73,58.73
22/10/1900,60.63,60.63,60.63,60.63
23/10/1900,60.79,60.79,60.79,60.79
24/10/1900,60.79,60.79,60.79,60.79
25/10/1900,60.64,60.64,60.64,60.64
26/10/1900,60.5,60.5,60.5,60.5
27/10/1900,60.5,60.5,60.5,60.5
28/10/1900,60.5,60.5,60.5,60.5
29/10/1900,59.31,59.31,59.31,59.31
30/10/1900,59.53,59.53,59.53,59.53
31/10/1900,59.04,59.04,59.04,59.04
01/11/1900,59.18,59.18,59.18,59.18
02/11/1900,59.39,59.39,59.39,59.39
03/11/1900,59.39,59.39,59.39,59.39
04/11/1900,59.39,59.39,59.39,59.39
05/11/1900,60.87,60.87,60.87,60.87
06/11/1900,60.87,60.87,60.87,60.87
07/11/1900,62.9,62.9,62.9,62.9
08/11/1900,63.76,63.76,63.76,63.76
09/11/1900,65.15,65.15,65.15,65.15
10/11/1900,65.15,65.15,65.15,65.15
11/11/1900,65.15,65.15,65.15,65.15
12/11/1900,67.33,67.33,67.33,67.33
13/11/1900,65.73,65.73,65.73,65.73
14/11/1900,66.23,66.23,66.23,66.23
15/11/1900,66.81,66.81,66.81,66.81
16/11/1900,68.19,68.19,68.19,68.19
17/11/1900,68.19,68.19,68.19,68.19
18/11/1900,68.19,68.19,68.19,68.19
19/11/1900,68.88,68.88,68.88,68.88
20/11/1900,69.07,69.07,69.07,69.07
21/11/1900,68.97,68.97,68.97,68.97
22/11/1900,68.41,68.41,68.41,68.41
23/11/1900,66.92,66.92,66.92,66.92
24/11/1900,66.92,66.92,66.92,66.92
25/11/1900,66.92,66.92,66.92,66.92
26/11/1900,67.23,67.23,67.23,67.23
27/11/1900,67.01,67.01,67.01,67.01
